"address","name","chain","fee"
"WLFinEv6ypjkczcS83FZqFpgFZYwQXutRbxGe7oC16g","WLFI","SOL",5.28
"sats","1000SATS","ORDIBTC",100000.0
"0xbf7c81fff98bbe61b40ed186e4afd6ddd01337fe","EGLD","BSC",0.0011
"0x2::sui::SUI","SUI","SUI",0.06
"0xceab719b8baa2310f232ee0d277c061704541cfb","ONT","NEO",0.0
"0x7839fbfd09dae4d0f15bfb36b8f16f7898fbe684","MIRA","BSC",0.12
"0xba12bc7b210e61e5d3110b997a63ea216e0e18f7","C","BASE",1.9
"0x66e4d38b20173f509a1ff5d82866949e4fe898da","LRC","BSC",0.19
"0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT","MATIC",0.011
"0x1f1e7c893855525b303f99bdf5c3c05be09ca251","SYN","AVAXC",0.68
"AR_AR","AR","AR",2e-05
"0x6e88056e8376ae7709496ba64d37fa2f8015ce3e","DEXE","BSC",0.005
"0x0c1dc73159e30c4b06170f2593d3118968a0dca5","GPS","BASE",46.0
"0x5c85d6c6825ab4032337f11ee92a72df936b46f6","MUBARAK","BSC",0.53
"0x551897f8203bd131b350601d3ac0679ba0fc0136","NFP","BSC",0.26
"0x96dd399f9c3afda1f194182f71600f1b65946501","COS","BSC",4.94
"0x8f86a15ec17cb3369d8b3e666dadbc11daa82b79","APE","BSC",0.079
"0xa227cc36938f0c9e09ce0e64dfab226cad739447","OPEN","BSC",0.088
"0xad6caeb32cd2c308980a548bd0bc5aa4306c6c18","BAND","BSC",0.02
"TNSRxcUxoT9xBG3de7PiJyTDYu7kskLqcpddxnEJAS6","TNSR","SOL",5.28
"USDC_STATEMINT","USDC","STATEMINT",0.7
"0xa260e12d2b924cb899ae80bb58123ac3fee1e2f0","HOOK","BSC",0.16
"0x31dba3c96481fde3cd81c2aaf51f2d8bf618c742","SOPH","BSC",0.52
"0x47474747477b199288bf72a1d702f7fe0fb1deea","WLFI","BSC",0.23
"0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9","USDT","ARBITRUM",0.2
"DASH_DASH","DASH","DASH",0.0002
"usdt.tether-token.near","USDT","NEAR",0.2
"AXL_AXL","AXL","AXL",0.02
"HZ1JovNiVvGrGNiiYvEozEVgZ58xaU3RKwX8eACQBCt3","PYTH","SOL",6.83
"0x2ed9a5c8c13b93955103b9a7c167b67ef4d568a3","MASK","BSC",0.014
"DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263","BONK","SOL",53448.0
"0x714db550b574b3e927af3d93e26127d15721d4c2","GMT","MATIC",0.4
"GJAFwWjJ3vnTsrQVabjBVK2TYB1YtRCQXRDfDgUnpump","ACT","SOL",35.0
