"address","name","chain","fee"
"0x808507121B80c02388fAd14726482e061B8da827","PENDLE","PENDLE-ERC20",1.0
"0xa9b1eb5908cfc3cdf91f9b8b3a74108598009096","AUCTION","AUCTION-ERC20",0.089
"MEFNBXixkEbait3xn9bkm8WsJzXtVsaJEn4c8Sam21u","ME","ME-Solana",2.38523783
"0x2dfF88A56767223A5529eA5960Da7A3F5f766406","ID","ID-ERC20",10.0
"DOT_DOT-Polkadot","DOT","DOT-Polkadot",0.08
"TIA_TIA-Celestia","TIA","TIA-Celestia",0.1
"KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS","KMNO","KMNO-Solana",15.89867004
"rndrizKT3MK1iimdxRdWabcF7Zg7AR5T4nud4EkHBof","RENDER","RENDER-Solana",0.90835513
"0xc71b5f631354be6853efe9c3ab6b9590f8302e81","ZKJ","ZKJ-ERC20",5.0
"0x6dab8fe8e5d425f2eb063aae58540aa04e273e0d","GALFT","GALFT-Chiliz 2.0 Chain",0.1
"0xf411903cbc70a74d22900a5de66a2dda66507255","VRA","VRA-ERC20",911.62
"RVN_RVN-Ravencoin","RVN","RVN-Ravencoin",0.8
"0x68749665ff8d2d112fa859aa293f07a622782f38","XAUT","XAUT-ERC20",0.00015
"0x7a58c0be72be218b41c608b7fe7c5bb630736c71","PEOPLE","PEOPLE-ERC20",49.75
"BABY_BABY-Babylon","BABY","BABY-Babylon",0.01
"0xff56cc6b1e6ded347aa0b7676c85ab0b3d08b0fa","ORBS","ORBS-ERC20",45.12
"0xa3ee21c306a700e682abcdfe9baa6a08f3820419","CTC","CTC-ERC20",1.22
"0x539bde0d7dbd336b79148aa742883198bbf60342","MAGIC","MAGIC-Arbitrum One",0.0872885
"0x471ece3750da237f93b8e339c536989b8978a438","CELO","CELO-CELO-TOKEN",0.0
"0x7dcb50b2180BC896Da1200D2726a88AF5D2cBB5A","ORDI","ORDI-MERLIN Network",0.05
"AVAX_AVAX-Avalanche C-Chain","AVAX","AVAX-Avalanche C-Chain",0.0064
"0x000Ae314E2A2172a039B26378814C252734f556A","ASTER","ASTER-BSC",0.5
"0xd533a949740bb3306d119cc777fa900ba034cd52","CRV","CRV-ERC20",1.11
